memory/KB,all_cnt,aae,are_cnt,are,,all_cnt,aae,are_cnt,are
60,677750,1.233396,45983,1.651085, ,1000,321.219,1000,0.903613
80,677750,1.303219,45983,1.86939, ,1000,278.053,1000,0.892303
100,677750,1.073732,45983,1.532874, ,1000,219.613,1000,0.790372
120,677750,0.841719,45983,1.26091, ,1000,160.547,1000,0.644949
140,677750,0.709983,45983,1.090016, ,1000,123.182,1000,0.527103
160,677750,0.621025,45983,1.029062, ,1000,93.711,1000,0.425891
180,677750,0.575976,45983,1.010529, ,1000,77.038,1000,0.359283
200,677750,0.539177,45983,0.996218, ,1000,61.84,1000,0.292652
220,677750,0.519786,45983,0.986871, ,1000,52.999,1000,0.250724
240,677750,0.500575,45983,0.983816, ,1000,44.148,1000,0.217359
260,677750,0.490585,45983,0.985766, ,1000,38.025,1000,0.192692
280,677750,0.480629,45983,0.98396, ,1000,32.02,1000,0.161572
300,677750,0.470811,45983,0.982083, ,1000,27.108,1000,0.138051
320,677750,0.466111,45983,0.980536, ,1000,24.014,1000,0.12325
340,677750,0.459476,45983,0.9802, ,1000,19.629,1000,0.103093
360,677750,0.457895,45983,0.980732, ,1000,18.687,1000,0.098687
380,677750,0.454252,45983,0.979836, ,1000,16.323,1000,0.086115
400,677750,0.450837,45983,0.979707, ,1000,13.704,1000,0.072215
420,677750,0.449275,45983,0.979294, ,1000,12.837,1000,0.068043
440,677750,0.447031,45983,0.979068, ,1000,10.938,1000,0.056532
460,677750,0.446752,45983,0.979039, ,1000,11.263,1000,0.059482
480,677750,0.444909,45983,0.978935, ,1000,9.155,1000,0.04742
500,677750,0.443277,45983,0.978821, ,1000,8.239,1000,0.044208
520,677750,0.44325,45983,0.978807, ,1000,7.836,1000,0.040601
540,677750,0.442281,45983,0.978753, ,1000,7.421,1000,0.039819
560,677750,0.441955,45983,0.978785, ,1000,6.764,1000,0.03648
580,677750,0.440935,45983,0.978647, ,1000,6.344,1000,0.033435
600,677750,0.440509,45983,0.978627, ,1000,6.19,1000,0.033606
620,677750,0.440617,45983,0.978676, ,1000,5.312,1000,0.028279
640,677750,0.439056,45983,0.978536, ,1000,5.013,1000,0.027757
660,677750,0.439454,45983,0.978573, ,1000,4.615,1000,0.02477
680,677750,0.439096,45983,0.978543, ,1000,5.039,1000,0.028387
700,677750,0.43846,45983,0.978503, ,1000,3.984,1000,0.021199
720,677750,0.43844,45983,0.978485, ,1000,4.124,1000,0.021784
740,677750,0.438128,45983,0.978472, ,1000,3.739,1000,0.019803
760,677750,0.438381,45983,0.978501, ,1000,3.989,1000,0.02204
780,677750,0.437543,45983,0.978433, ,1000,3.228,1000,0.01723
800,677750,0.437418,45983,0.978427, ,1000,2.688,1000,0.013368
820,677750,0.437416,45983,0.978435, ,1000,2.666,1000,0.013742
840,677750,0.437568,45983,0.978484, ,1000,2.623,1000,0.013645
860,677750,0.437074,45983,0.978401, ,1000,2.695,1000,0.014006
880,677750,0.436773,45983,0.978388, ,1000,2.486,1000,0.013339
900,677750,0.436932,45983,0.978408, ,1000,2.417,1000,0.012882
920,677750,0.436752,45983,0.97838, ,1000,1.979,1000,0.009355
940,677750,0.436652,45983,0.978375, ,1000,2.092,1000,0.010336
960,677750,0.436397,45983,0.978356, ,1000,1.786,1000,0.008483
980,677750,0.436333,45983,0.978353, ,1000,2.001,1000,0.010284
1000,677750,0.436466,45983,0.978371, ,1000,1.969,1000,0.010167
